analysis	signature_acc	signature_desc	hit_rows	unique_proteins
PANTHER	PTHR33875	OS09G0542200 PROTEIN	1	1
PANTHER	PTHR33973	OS07G0153300 PROTEIN	1	1
PANTHER	PTHR34035	TESTIS-EXPRESSED PROTEIN 47	1	1
PANTHER	PTHR34062	OXIDOREDUCTASE 21 KDA SUBUNIT, PUTATIVE (AFU_ORTHOLOGUE AFUA_4G04750)-RELATED	1	1
PANTHER	PTHR34105	PROLINE-, GLUTAMIC ACID- AND LEUCINE-RICH PROTEIN 1	1	1
PANTHER	PTHR34286	TRANSMEMBRANE PROTEIN	1	1
PANTHER	PTHR34292	OUTER SPORE WALL PROTEIN LDS1	1	1
PANTHER	PTHR34403	TOL-PAL SYSTEM PROTEIN TOLA	1	1
PANTHER	PTHR34494	PROTEIN CBG25024	1	1
PANTHER	PTHR34649	CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 99	1	1
PANTHER	PTHR34815	LYSINE ACETYLTRANSFERASE	1	1
PANTHER	PTHR34818	PROTEIN BLI-3	1	1
PANTHER	PTHR34932	TRPL TRANSLOCATION DEFECT PROTEIN 14	1	1
PANTHER	PTHR34992	HYPHAL ANASTAMOSIS-7 PROTEIN	1	1
PANTHER	PTHR35517	PROTEIN ARGININE N-METHYLTRANSFERASE SFM1	1	1
PANTHER	PTHR35518	MAINTENANCE OF TELOMOERE CAPPING	1	1
PANTHER	PTHR35711	EXPRESSED PROTEIN	1	1
PANTHER	PTHR36122	NICOTINAMIDE RIBOSIDE TRANSPORTER PNUC	1	1
PANTHER	PTHR36223	BETA-LACTAMASE-TYPE TRANSPEPTIDASE FOLD DOMAIN CONTAINING PROTEIN	1	1
PANTHER	PTHR36459	ORF	1	1
PANTHER	PTHR36485	OS01G0939000 PROTEIN	1	1
PANTHER	PTHR36774	INSULIN-INDUCED PROTEIN	1	1
PANTHER	PTHR36853	EXPRESSED PROTEIN	1	1
PANTHER	PTHR36854	CHROMOSOME 9, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR36987	NADH DEHYDROGENASE [UBIQUINONE] 1 BETA SUBCOMPLEX SUBUNIT 2-LIKE	1	1
PANTHER	PTHR37167	1,4-DIHYDROXY-6-NAPHTOATE SYNTHASE	1	1
PANTHER	PTHR37314	SLR0142 PROTEIN	1	1
PANTHER	PTHR37320	AG-1 BLOOD STAGE MEMBRANE PROTEIN HOMOLOGUE	1	1
PANTHER	PTHR37331	YALI0F11671P	1	1
PANTHER	PTHR37474	RNA LIGASE/CYCLIC NUCLEOTIDE PHOSPHODIESTERASE	1	1
PANTHER	PTHR37512	TRIFUNCTIONAL NAD BIOSYNTHESIS/REGULATOR PROTEIN NADR	1	1
PANTHER	PTHR37539	SECRETED PROTEIN-RELATED	1	1
PANTHER	PTHR37739	KINESIN-LIKE PROTEIN KIN-12D	1	1
PANTHER	PTHR37745	EXPRESSED PROTEIN	1	1
PANTHER	PTHR37984	PROTEIN CBG26694	1	1
PANTHER	PTHR38011	DIHYDROFOLATE REDUCTASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_8G06820)	1	1
PANTHER	PTHR38360	OS03G0120000 PROTEIN	1	1
PANTHER	PTHR38407	PROTEIN IVY1	1	1
PANTHER	PTHR38409	MDM10-COMPLEMENTING PROTEIN 1	1	1
PANTHER	PTHR38488	OXIDOREDUCTASE 9.5 KDA SUBUNIT, PUTATIVE (AFU_ORTHOLOGUE AFUA_5G08980)-RELATED	1	1
PANTHER	PTHR39063	ORAL-FACIAL-DIGITAL SYNDROME 1 PROTEIN HOMOLOG	1	1
PANTHER	PTHR39211	CHROMOSOME 7, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR39218	OXIDOREDUCTASE 14 KDA SUBUNIT, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G12110)-RELATED	1	1
PANTHER	PTHR39329	ETHANOLAMINE AMMONIA-LYASE HEAVY CHAIN	1	1
PANTHER	PTHR39330	ETHANOLAMINE AMMONIA-LYASE LIGHT CHAIN	1	1
PANTHER	PTHR39474	UNNAMED PRODUCT	1	1
PANTHER	PTHR40021	DEFECT AT LOW TEMPERATURE PROTEIN 1	1	1
PANTHER	PTHR40621	TRANSCRIPTION FACTOR KAPC-RELATED	1	1
PANTHER	PTHR40626	MIP31509P	1	1
PANTHER	PTHR40633	MATRIX PROTEIN, PUTATIVE (AFU_ORTHOLOGUE AFUA_8G05410)-RELATED	1	1
PANTHER	PTHR40637	ESSS SUBUNIT OF NADH:UBIQUINONE OXIDOREDUCTASE (COMPLEX I) PROTEIN	1	1
PANTHER	PTHR41390	CHROMOSOME 7, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR41800	EXPRESSED PROTEIN	1	1
PANTHER	PTHR42100	OXIDOREDUCTASE 178 KDA SUBUNIT, PUTATIVE (AFU_ORTHOLOGUE AFUA_8G04320)-RELATED	1	1
PANTHER	PTHR42650	TAIL-ANCHORED PROTEIN INSERTION RECEPTOR WRB	1	1
PANTHER	PTHR42673	MALEYLACETOACETATE ISOMERASE	1	1
PANTHER	PTHR42681	MALONYL-COA-ACYL CARRIER PROTEIN TRANSACYLASE, MITOCHONDRIAL	1	1
PANTHER	PTHR42690	THREONINE SYNTHASE FAMILY MEMBER	1	1
PANTHER	PTHR42711	ABC TRANSPORTER ATP-BINDING PROTEIN	1	1
PANTHER	PTHR42737	GLUTATHIONE REDUCTASE	1	1
PANTHER	PTHR42752	IMIDAZOLONEPROPIONASE	1	1
PANTHER	PTHR42790	AMINOTRANSFERASE	1	1
PANTHER	PTHR42799	MITOCHONDRIAL PEPTIDE METHIONINE SULFOXIDE REDUCTASE	1	1
PANTHER	PTHR42807	GLUTARYL-COA DEHYDROGENASE, MITOCHONDRIAL	1	1
PANTHER	PTHR42813	ZINC-TYPE ALCOHOL DEHYDROGENASE-LIKE	1	1
PANTHER	PTHR42826	DICARBOXYLATE TRANSPORTER 2.1, CHLOROPLASTIC	1	1
PANTHER	PTHR42865	PROTON/GLUTAMATE-ASPARTATE SYMPORTER	1	1
PANTHER	PTHR42885	HISTIDINOL-PHOSPHATE AMINOTRANSFERASE-RELATED	1	1
PANTHER	PTHR42904	NUDIX HYDROLASE, NUDC SUBFAMILY	1	1
PANTHER	PTHR42909	ZGC:136858	1	1
PANTHER	PTHR42919	N-ALPHA-ACETYLTRANSFERASE	1	1
PANTHER	PTHR42955	GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE	1	1
PANTHER	PTHR42961	IRON-SULFUR PROTEIN NUBPL	1	1
PANTHER	PTHR42964	ENOYL-COA HYDRATASE	1	1
PANTHER	PTHR43008	BENZIL REDUCTASE	1	1
PANTHER	PTHR43020	CDK5 REGULATORY SUBUNIT-ASSOCIATED PROTEIN 1	1	1
PANTHER	PTHR43033	TRNA(ILE)-LYSIDINE SYNTHASE-RELATED	1	1
PANTHER	PTHR43037	UNNAMED PRODUCT-RELATED	1	1
PANTHER	PTHR43049	EARLY ENDOSOME ANTIGEN	1	1
PANTHER	PTHR43080	CBS DOMAIN-CONTAINING PROTEIN CBSX3, MITOCHONDRIAL	1	1
PANTHER	PTHR43092	L-CYSTEINE DESULFHYDRASE	1	1
PANTHER	PTHR43116	PEPTIDE CHAIN RELEASE FACTOR 2	1	1
PANTHER	PTHR43119	ABC TRANSPORT PROTEIN ATP-BINDING COMPONENT-RELATED	1	1
PANTHER	PTHR43150	HYPERKINETIC, ISOFORM M	1	1
PANTHER	PTHR43157	PHOSPHATIDYLINOSITOL-GLYCAN BIOSYNTHESIS CLASS F PROTEIN-RELATED	1	1
PANTHER	PTHR43176	3-HYDROXYISOBUTYRYL-COA HYDROLASE-RELATED	1	1
PANTHER	PTHR43194	HYDROLASE ALPHA/BETA FOLD FAMILY	1	1
PANTHER	PTHR43200	PHOSPHATASE	1	1
PANTHER	PTHR43213	BIFUNCTIONAL DTTP/UTP PYROPHOSPHATASE/METHYLTRANSFERASE PROTEIN-RELATED	1	1
PANTHER	PTHR43237	NADP-DEPENDENT MALIC ENZYME	1	1
PANTHER	PTHR43267	TRNA THREONYLCARBAMOYLADENOSINE DEHYDRATASE	1	1
PANTHER	PTHR43285	ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE	1	1
PANTHER	PTHR43290	MEVALONATE KINASE	1	1
PANTHER	PTHR43296	PEROXISOMAL 2,4-DIENOYL-COA REDUCTASE	1	1
PANTHER	PTHR43302	TRANSPORTER ARSB-RELATED	1	1
PANTHER	PTHR43312	D-THREO-ALDOSE 1-DEHYDROGENASE	1	1
PANTHER	PTHR43327	STOMATIN-LIKE PROTEIN 2, MITOCHONDRIAL	1	1
PANTHER	PTHR43329	EPOXIDE HYDROLASE	1	1
PANTHER	PTHR43355	FLAVIN REDUCTASE (NADPH)	1	1
PANTHER	PTHR43369	PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE	1	1
PANTHER	PTHR43371	VITAMIN B12-DEPENDENT RIBONUCLEOTIDE REDUCTASE	1	1
PANTHER	PTHR43391	RETINOL DEHYDROGENASE-RELATED	1	1
PANTHER	PTHR43398	DOLICHOL-PHOSPHATE MANNOSYLTRANSFERASE SUBUNIT 1	1	1
PANTHER	PTHR43418	MULTIFUNCTIONAL TRYPTOPHAN BIOSYNTHESIS PROTEIN-RELATED	1	1
PANTHER	PTHR43462	ALANYL-TRNA EDITING PROTEIN	1	1
PANTHER	PTHR43464	METHYLTRANSFERASE	1	1
PANTHER	PTHR43475	METHYLTHIORIBOSE-1-PHOSPHATE ISOMERASE	1	1
PANTHER	PTHR43503	MCG48959-RELATED	1	1
PANTHER	PTHR43544	SHORT-CHAIN DEHYDROGENASE/REDUCTASE	1	1
PANTHER	PTHR43561		1	1
PANTHER	PTHR43591	METHYLTRANSFERASE	1	1
PANTHER	PTHR43636	ELONGATION FACTOR G, MITOCHONDRIAL	1	1
PANTHER	PTHR43639	OXIDOREDUCTASE, SHORT-CHAIN DEHYDROGENASE/REDUCTASE FAMILY (AFU_ORTHOLOGUE AFUA_5G02870)	1	1
PANTHER	PTHR43657	TRYPTOPHAN RNA-BINDING ATTENUATOR PROTEIN-LIKE PROTEIN	1	1
PANTHER	PTHR43668	ALLANTOINASE	1	1
PANTHER	PTHR43671	SERINE/THREONINE-PROTEIN KINASE NEK	1	1
PANTHER	PTHR43740	LEUCYL-TRNA SYNTHETASE	1	1
PANTHER	PTHR43758	7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE	1	1
PANTHER	PTHR43761	D-ISOMER SPECIFIC 2-HYDROXYACID DEHYDROGENASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_1G13630)	1	1
PANTHER	PTHR43762	L-GULONOLACTONE OXIDASE	1	1
PANTHER	PTHR43765	2-DEHYDROPANTOATE 2-REDUCTASE-RELATED	1	1
PANTHER	PTHR43774	PEPTIDE METHIONINE SULFOXIDE REDUCTASE	1	1
PANTHER	PTHR43798	MONOACYLGLYCEROL LIPASE	1	1
PANTHER	PTHR43799	AMINOTRANSFERASE, PUTATIVE-RELATED	1	1
PANTHER	PTHR43804	LD18447P	1	1
PANTHER	PTHR43805	GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE	1	1
PANTHER	PTHR43811	FKBP-TYPE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKPA	1	1
PANTHER	PTHR43829	AQUAPORIN OR AQUAGLYCEROPORIN RELATED	1	1
PANTHER	PTHR43851		1	1
PANTHER	PTHR43867	CELLULOSE SYNTHASE CATALYTIC SUBUNIT A [UDP-FORMING]	1	1
PANTHER	PTHR43881	GAMMA-GLUTAMYLTRANSPEPTIDASE (AFU_ORTHOLOGUE AFUA_4G13580)	1	1
PANTHER	PTHR43883	SLR0207 PROTEIN	1	1
PANTHER	PTHR43979	PRE-MRNA-PROCESSING FACTOR 17	1	1
PANTHER	PTHR43995	PRE-MRNA-PROCESSING FACTOR 19	1	1
PANTHER	PTHR44006	U5 SMALL NUCLEAR RIBONUCLEOPROTEIN 40 KDA PROTEIN	1	1
PANTHER	PTHR44040	RETINOBLASTOMA-BINDING PROTEIN 5	1	1
PANTHER	PTHR44163	U3 SMALL NUCLEOLAR RNA-ASSOCIATED PROTEIN 4 HOMOLOG	1	1
PANTHER	PTHR44196	DEHYDROGENASE/REDUCTASE SDR FAMILY MEMBER 7B	1	1
PANTHER	PTHR44200	DNAJ HOMOLOG SUBFAMILY C MEMBER 7	1	1
PANTHER	PTHR44229	15-HYDROXYPROSTAGLANDIN DEHYDROGENASE [NAD(+)]	1	1
PANTHER	PTHR44414	PROTEIN NEDD1	1	1
PANTHER	PTHR44499	JOUBERIN	1	1
PANTHER	PTHR44525	WD REPEAT-CONTAINING PROTEIN 27	1	1
PANTHER	PTHR44924	DNAJ SUBFAMILY A MEMBER 2	1	1
PANTHER	PTHR45011	DAP3-BINDING CELL DEATH ENHANCER 1	1	1
PANTHER	PTHR45084	ERAD-ASSOCIATED E3 UBIQUITIN-PROTEIN LIGASE COMPONENT HRD3A-RELATED	1	1
PANTHER	PTHR45622	UBIQUITIN-PROTEIN LIGASE E3A-RELATED	1	1
PANTHER	PTHR45655	GUANYLATE CYCLASE SOLUBLE SUBUNIT BETA-2	1	1
PANTHER	PTHR45657	CRAL-TRIO DOMAIN-CONTAINING PROTEIN YKL091C-RELATED	1	1
PANTHER	PTHR45671	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER PHOSPHATE CARRIER), MEMBER 3, LIKE-RELATED-RELATED	1	1
PANTHER	PTHR45676	RING-H2 FINGER PROTEIN ATL51-RELATED	1	1
PANTHER	PTHR45684	RE74312P	1	1
PANTHER	PTHR45689	I[[H]] CHANNEL, ISOFORM E	1	1
PANTHER	PTHR45694	GLUTAREDOXIN 2	1	1
PANTHER	PTHR45712	AGAP008170-PA	1	1
PANTHER	PTHR45722	60S RIBOSOMAL PROTEIN L35	1	1
PANTHER	PTHR45752	LEUCINE-RICH REPEAT-CONTAINING	1	1
PANTHER	PTHR45761	EXTENDED SYNAPTOTAGMIN-LIKE PROTEIN 2, ISOFORM C	1	1
PANTHER	PTHR45769	ADENOSINE KINASE	1	1
PANTHER	PTHR45782	MITOCHONDRIAL RIBOSOME-ASSOCIATED GTPASE 1	1	1
PANTHER	PTHR45791	CALCIUM AND INTEGRIN BINDING FAMILY MEMBER 2	1	1
PANTHER	PTHR45797	RAD54-LIKE	1	1
PANTHER	PTHR45798	RING-H2 FINGER PROTEIN ATL61-RELATED-RELATED	1	1
PANTHER	PTHR45827	SORTING NEXIN	1	1
PANTHER	PTHR45847	FATTY ACID AMIDE HYDROLASE	1	1
PANTHER	PTHR45859	TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT BETA	1	1
PANTHER	PTHR45873	DNA POLYMERASE ETA	1	1
PANTHER	PTHR45880	RNA-BINDING MOTIF PROTEIN, X-LINKED 2	1	1
PANTHER	PTHR45881	CHECKPOINT SUPPRESSOR 1-LIKE, ISOFORM A-RELATED	1	1
PANTHER	PTHR45888	HL01030P-RELATED	1	1
PANTHER	PTHR45892	AMINOACYLASE-1	1	1
PANTHER	PTHR45904	TRNA (URACIL-5-)-METHYLTRANSFERASE	1	1
PANTHER	PTHR45919	GDP-MAN:MAN(3)GLCNAC(2)-PP-DOL ALPHA-1,2-MANNOSYLTRANSFERASE	1	1
PANTHER	PTHR45958	RING-TYPE E3 UBIQUITIN TRANSFERASE	1	1
PANTHER	PTHR45963	RE52028P	1	1
PANTHER	PTHR45989	TRANSLATION INITIATION FACTOR EIF-2B SUBUNIT GAMMA	1	1
PANTHER	PTHR45998	SERINE/THREONINE-PROTEIN KINASE 16	1	1
PANTHER	PTHR46006	RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR AT 64C, ISOFORM A	1	1
PANTHER	PTHR46007	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 12	1	1
PANTHER	PTHR46027	PEROXISOMAL TARGETING SIGNAL 2 RECEPTOR	1	1
PANTHER	PTHR46052	PHOSDUCIN-LIKE PROTEIN	1	1
PANTHER	PTHR46063	KELCH DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR46064	QUEUINE TRNA-RIBOSYLTRANSFERASE ACCESSORY SUBUNIT 2	1	1
PANTHER	PTHR46077	E3 UBIQUITIN-PROTEIN LIGASE TOPORS	1	1
PANTHER	PTHR46078	FORKHEAD BOX PROTEIN J2 FAMILY MEMBER	1	1
PANTHER	PTHR46080	MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN J	1	1
PANTHER	PTHR46086	ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN	1	1
PANTHER	PTHR46100	IMP2'P	1	1
PANTHER	PTHR46107	DUMPY: SHORTER THAN WILD-TYPE	1	1
PANTHER	PTHR46109	PROTEIN LIN-28	1	1
PANTHER	PTHR46123	MIX-TYPE HOMEOBOX GENE 1-RELATED	1	1
PANTHER	PTHR46138	PROTEIN DR1	1	1
PANTHER	PTHR46171	GH10160P	1	1
PANTHER	PTHR46187	ALKALINE CERAMIDASE 3	1	1
PANTHER	PTHR46188	BOLA-LIKE PROTEIN 3	1	1
PANTHER	PTHR46194	PEPTIDYL-TRNA HYDROLASE PTRHD1-RELATED	1	1
PANTHER	PTHR46202	DNA EXCISION REPAIR PROTEIN ERCC-8	1	1
PANTHER	PTHR46211	GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE	1	1
PANTHER	PTHR46225	C3H4 TYPE ZINC FINGER PROTEIN	1	1
PANTHER	PTHR46236	TRAF-LIKE SUPERFAMILY PROTEIN	1	1
PANTHER	PTHR46246	GUANOSINE-3',5'-BIS(DIPHOSPHATE) 3'-PYROPHOSPHOHYDROLASE MESH1	1	1
PANTHER	PTHR46256	AGAP011099-PA	1	1
PANTHER	PTHR46261	HIGH MOBILITY GROUP B PROTEIN 4-RELATED	1	1
PANTHER	PTHR46264	TYROSINE-TRNA LIGASE	1	1
PANTHER	PTHR46268	STRESS RESPONSE PROTEIN NHAX	1	1
PANTHER	PTHR46275	HEPATOCYTE GROWTH FACTOR-REGULATED TYROSINE KINASE SUBSTRATE	1	1
PANTHER	PTHR46276	E3 UBIQUITIN-PROTEIN LIGASE UBR5	1	1
PANTHER	PTHR46281	CYTOCHROME C OXIDASE SUBUNIT 6B	1	1
PANTHER	PTHR46283	E3 UBIQUITIN-PROTEIN LIGASE MARCH5	1	1
PANTHER	PTHR46334	COSTARS FAMILY PROTEIN ABRACL	1	1
PANTHER	PTHR46338	TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 8	1	1
PANTHER	PTHR46345	INVERTED FORMIN-2	1	1
PANTHER	PTHR46356	MITOCHONDRIAL 2-OXODICARBOXYLATE CARRIER	1	1
PANTHER	PTHR46365	COPPER TRANSPORT PROTEIN ATOX1	1	1
PANTHER	PTHR46370	GPALPP MOTIFS-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR46391	BASIC LEUCINE ZIPPER 34	1	1
PANTHER	PTHR46395	ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN 1	1	1
PANTHER	PTHR46402	SET AND MYND DOMAIN-CONTAINING PROTEIN 5	1	1
PANTHER	PTHR46403	TP53-REGULATED INHIBITOR OF APOPTOSIS 1	1	1
PANTHER	PTHR46411	FAMILY ATPASE, PUTATIVE-RELATED	1	1
PANTHER	PTHR46423	RNA POLYMERASE II-ASSOCIATED PROTEIN 3	1	1
PANTHER	PTHR46426	PROTEIN DISULFIDE-ISOMERASE TMX3	1	1
PANTHER	PTHR46438	ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN	1	1
PANTHER	PTHR46459	E1A-BINDING PROTEIN P400-RELATED	1	1
PANTHER	PTHR46472	NUCLEOREDOXIN	1	1
PANTHER	PTHR46487	DNA REPAIR PROTEIN XRCC3	1	1
PANTHER	PTHR46498	GTP-BINDING PROTEIN 8	1	1
PANTHER	PTHR46502	C2 DOMAIN-CONTAINING	1	1
PANTHER	PTHR46511	MORN REPEAT-CONTAINING PROTEIN 3	1	1
PANTHER	PTHR46512	PEPTIDYLPROLYL ISOMERASE	1	1
PANTHER	PTHR46527	NUCLEOPORIN-LIKE PROTEIN 2	1	1
PANTHER	PTHR46533	ZINC FINGER MYND DOMAIN-CONTAINING PROTEIN 12	1	1
PANTHER	PTHR46564	TRANSPOSASE	1	1
PANTHER	PTHR46572	RHO1 GDP-GTP EXCHANGE PROTEIN 1-RELATED	1	1
PANTHER	PTHR46588	SERINE/THREONINE/TYROSINE-INTERACTING PROTEIN	1	1
PANTHER	PTHR46621	SNRNA-ACTIVATING PROTEIN COMPLEX SUBUNIT 4	1	1
PANTHER	PTHR46622	DNA-DEPENDENT METALLOPROTEASE WSS1	1	1
PANTHER	PTHR46640	TRIACYLGLYCEROL LIPASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_6G06510)-RELATED	1	1
PANTHER	PTHR46647	RAB9 EFFECTOR PROTEIN WITH KELCH MOTIFS	1	1
PANTHER	PTHR46753	FYVE AND COILED-COIL DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR46770	HOMEOBOX PROTEIN ORTHOPEDIA	1	1
PANTHER	PTHR46819	EF-HAND CALCIUM-BINDING DOMAIN-CONTAINING PROTEIN 7	1	1
PANTHER	PTHR46847	D-ALLOSE-BINDING PERIPLASMIC PROTEIN-RELATED	1	1
PANTHER	PTHR46983	CYSTEINE AND HISTIDINE-RICH DOMAIN-CONTAINING PROTEIN 1	1	1
PANTHER	PTHR47084	SERINE PALMITOYLTRANSFERASE SMALL SUBUNIT A	1	1
PANTHER	PTHR47175	LIPASE ATG15-RELATED	1	1
PANTHER	PTHR47284	FATTY-ACID-BINDING PROTEIN 2	1	1
PANTHER	PTHR47330	POLY(U)-BINDING-SPLICING FACTOR PUF60-B-RELATED	1	1
PANTHER	PTHR47349	CHROMOSOME 8, WHOLE GENOME SHOTGUN SEQUENCE	1	1
PANTHER	PTHR47354	NADH OXIDOREDUCTASE HCR	1	1
PANTHER	PTHR47372	DAUER UP-REGULATED-RELATED	1	1
PANTHER	PTHR47396	TYPE I RESTRICTION ENZYME ECOKI R PROTEIN	1	1
PANTHER	PTHR47510	REVERSE TRANSCRIPTASE DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR47549	GOLGI APPARATUS MEMBRANE PROTEIN TVP38-RELATED	1	1
PANTHER	PTHR47642	ATP-DEPENDENT DNA HELICASE	1	1
PANTHER	PTHR47668	DIENELACTONE HYDROLASE FAMILY PROTEIN (AFU_ORTHOLOGUE AFUA_6G01940)	1	1
PANTHER	PTHR47675	MOLYBDOPTERIN BINDING DOMAIN PROTEIN (AFU_ORTHOLOGUE AFUA_5G11210)	1	1
PANTHER	PTHR47787	CENTROMERE-BINDING PROTEIN 1	1	1
PANTHER	PTHR47792	PROTEIN SOK2-RELATED	1	1
PANTHER	PTHR47808	INNER NUCLEAR MEMBRANE PROTEIN HEH2-RELATED	1	1
PANTHER	PTHR47823	ION_TRANS DOMAIN-CONTAINING PROTEIN	1	1
PANTHER	PTHR47934	PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN PET309, MITOCHONDRIAL	1	1
PANTHER	PTHR47957	ATP-DEPENDENT HELICASE HRQ1	1	1
PANTHER	PTHR47963	DEAD-BOX ATP-DEPENDENT RNA HELICASE 47, MITOCHONDRIAL	1	1
PANTHER	PTHR47988	SOMATIC EMBRYOGENESIS RECEPTOR KINASE 1	1	1
PANTHER	PTHR48004	OS01G0149700 PROTEIN	1	1
PANTHER	PTHR48021		1	1
PANTHER	PTHR48038	RIBONUCLEOPROTEIN RB97D	1	1
PANTHER	PTHR48060	DNA DAMAGE-REPAIR/TOLERATION PROTEIN DRT100	1	1
PANTHER	PTHR48068	TAF9 RNA POLYMERASE II, TATA BOX-BINDING PROTEIN (TBP)-ASSOCIATED FACTOR	1	1
PANTHER	PTHR48094	PROTEIN/NUCLEIC ACID DEGLYCASE DJ-1-RELATED	1	1
PANTHER	PTHR48129	60S RIBOSOMAL PROTEIN L37A	1	1
PANTHER	PTHR48178	PEROXISOME BIOGENESIS FACTOR 2	1	1
PANTHER	PTHR48277	MITOCHONDRIAL RIBOSOMAL PROTEIN S5	1	1
PANTHER	PTHR48287	ARM REPEAT SUPERFAMILY PROTEIN	1	1
PANTHER	PTHR48417	ATP SYNTHASE F1 SUBUNIT EPSILON	1	1
PIRSF	PIRSF000090	Beta-ETF	1	1
PIRSF	PIRSF000097	AKR	1	1
PIRSF	PIRSF000103	HIBADH	1	1
PIRSF	PIRSF000108	IDH_NADP	1	1
PIRSF	PIRSF000114	Glycerol-3-P_dh	1	1
PIRSF	PIRSF000136	LGO_GLO	1	1
PIRSF	PIRSF000148	ASA_dh	1	1
PIRSF	PIRSF000184	GDH_NAD	1	1
PIRSF	PIRSF000185	Glu_DH	1	1
PIRSF	PIRSF000189	D-aa_oxidase	1	1
PIRSF	PIRSF000239	AHPC	1	1
PIRSF	PIRSF000336	TH	1	1
PIRSF	PIRSF000350	Hg-II_reductase_MerA	1	1
PIRSF	PIRSF000355	NrdB	1	1
PIRSF	PIRSF000388	PanB	1	1
PIRSF	PIRSF000422	NAT_A	1	1
PIRSF	PIRSF000439	Oat_ACAT_DAG_ARE	1	1
PIRSF	PIRSF000443	Homoser_Ac_trans	1	1
PIRSF	PIRSF000460	Glucan_phosphorylase_GlgP	1	1
PIRSF	PIRSF000463	GlgB	1	1
PIRSF	PIRSF000485	Pur1	1	1
PIRSF	PIRSF000517	Tyr_transaminase	1	1
PIRSF	PIRSF000530	Galactokinase	1	1
PIRSF	PIRSF000533	ATP_PFK_euk	1	1
PIRSF	PIRSF000548	PK_regulatory	1	1
PIRSF	PIRSF000587	PI3K_Vps34	1	1
PIRSF	PIRSF000724	Pgk	1	1
PIRSF	PIRSF000778	RpoK/RPB6	1	1
PIRSF	PIRSF000779	RPB8	1	1
PIRSF	PIRSF000806	UDPGP	1	1
PIRSF	PIRSF000850	PLD_PSS	1	1
PIRSF	PIRSF000868	14-3-3	1	1
PIRSF	PIRSF000882	DSB_repair_MRE11	1	1
PIRSF	PIRSF000904	FBPtase_SBPase	1	1
PIRSF	PIRSF001109	SAHH	1	1
PIRSF	PIRSF001423	Urocanate_hydrat	1	1
PIRSF	PIRSF001473	FK506-bp_FPR3	1	1
PIRSF	PIRSF001480	PMI	1	1
PIRSF	PIRSF001500	Chor_mut_pdt_Ppr	1	1
PIRSF	PIRSF001549	His-tRNA_synth	1	1
PIRSF	PIRSF001553	SucCS_alpha	1	1
PIRSF	PIRSF001569	E3_ub_ligase_SMURF1	1	1
PIRSF	PIRSF002122	RPS7p_RPS7a_RPS5e_RPS7o	1	1
PIRSF	PIRSF002129	RPS6e	1	1
PIRSF	PIRSF002144	RPS19p_RPS19a_RPS15e_RPS19o	1	1
PIRSF	PIRSF002158	RPL2p_RPL2a_RPL8e_RPL2o	1	1
PIRSF	PIRSF002161	RPL5p_RPL5a_RPL11e_RPL5o	1	1
PIRSF	PIRSF002162	RPL6p_RPL6a_RPL9e_RPL9o	1	1
PIRSF	PIRSF002181	RPL13p_RPL13Aa_RPL16e_RPL13o	1	1
PIRSF	PIRSF002290	CHC	1	1
PIRSF	PIRSF003033	Ku70	1	1
PIRSF	PIRSF003085	CmaB	1	1
PIRSF	PIRSF004499	Transl_init_SUI1_Euk	1	1
PIRSF	PIRSF004681	UCP004681	1	1
PIRSF	PIRSF004848	YBL036c_PLPDEIII	1	1
PIRSF	PIRSF005149	IPC-B_HD	1	1
PIRSF	PIRSF005198	SKI2	1	1
PIRSF	PIRSF005378	RNA_3-term_P_cyclase	1	1
